phrase	prompt	prompt_ID
I feel like l fell in hot water	Skin issue	23
I notice a lot more hair coming out than usual when I brush my hair	Hair falling out	10
I've noticed my hair falling out a lot lately.	Hair falling out	10
My body feels like it's in a refrigerator.	Feeling cold	7
I can't walk well I have an ache in my foot	Foot ache	9
I have the impression of having no strength in my body	Body feels weak	3
It feels like my heart is going to leap out of my body. It hurts.	Heart hurts	13
What's the symptoms of appendicitis?	Internal pain	16
After eating  I have burning sensation inside of me.	Stomach ache	24
I cannot get warm no matter how much I wrap up or how high I put the heating on	Feeling cold	7
After playing tennis,  I had a powerful sensation close to my neck	Shoulder pain	22
I have an ear ache when showering	Ear ache	5
I have terrible pain in my heart	Heart hurts	13
The warming system of my house is broken and  feel so cold	Feeling cold	7
My hair is falling out after I take a shower.	Hair falling out	10
I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!	Open wound	21
I feel pain in my throat	Cough	4
I can't stand up, I feel my brain is moving inside my skull.	Head ache	12
I have pimples on my back.	Acne	0
I've got a hard time to breath- am I having a heart attack?	Hard to breath	11
I can't work good I have a pain in my knee	Knee pain	18
Every time it rains I get hives on my belly and sides.	Skin issue	23
My cut yellow or greenish-colored pus	Infected wound	14
i have whooping cough with excess mucous, need mucolytic.	Cough	4
I think there's something wrong with my wound, it does not seem to heal like it should.	Infected wound	14
I was kicked in the head playing soccer last night.	Injury from sports	15
When I walk I get a stabbing pain in the top of my foot	Foot ache	9
I have a wound between my toes that gets better overnight and then reopens ever day when I wear dress shoes to work.	Open wound	21
I feel pain in my back	Back pain	1
At first it feels really numb, but then a thousand needles start to prick through my foot.	Foot ache	9
my cbc report indicate 10 hb, i feel tired of little work.	Body feels weak	3
When I stand up too quickly I feel as though I'm going to faint.	Feeling dizzy	8
I must see a doctor i have an open wound	Open wound	21
The pain in my back dwwls like a sharp knife in it	Back pain	1
I can hardly move my neck.  It hurts.	Neck pain	20
I feel a bone-on-bone pain in my knees when I climb stairs.	Joint pain	17
When I walk it's hard to breath.	Hard to breath	11
I have a dull ache in  my lower back which makes it difficult to move	Back pain	1
i have a great pain in my foot like thrombing pain with relaxing my pain releif	Foot ache	9
It started as a tinnitus, but today the pain is throbbing and unbearable.	Ear ache	5
The feeling of coughing increases in winter's reach	Cough	4
All of a sudden I felt dizzy when I stood up.	Feeling dizzy	8
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.	Infected wound	14
My infected wound caused a fever	Infected wound	14
I walk every day but now I get short of breath after going only a short way.	Hard to breath	11
There feels like a swollen knot at my shoulderblade with pain shooting from that	Shoulder pain	22
There is a sharp pain in my bicep	Muscle pain	19
I cannot bear this squeezing sensation I have in my chest.	Heart hurts	13
I feel back pain when I carry heavy things	Back pain	1
The joints in my fingers are painful in the morning.	Joint pain	17
Sometimes my body feels week without reason	Body feels weak	3
Even if the temperature is high in the house,  my body is always cold	Feeling cold	7
I cut myself and I'm bleeding.	Open wound	21
My face is all broken out with pimples.	Acne	0
when i get up, i feel dizzy and fall down.	Feeling dizzy	8
I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.	Muscle pain	19
My knees ache on cold and rainy days.	Knee pain	18
I feel congestion in my chest	Cough	4
I think my body temperature is very low.	Feeling cold	7
My stomach aches after I drink any soda drink, why?	Stomach ache	24
I have a blurry vision after my head was hit yesterday.	Blurry vision	2
I had a sharp pain in my stomach	Stomach ache	24
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.	Knee pain	18
There is a tingling sensation in my neck.	Neck pain	20
I feel great pain in the head	Head ache	12
I have general discomfort in my torso.	Internal pain	16
I toppled over while jumping to catch the ball.	Injury from sports	15
After an hard working day I have foot ache	Foot ache	9
i am feeling so dizzy, body is so fragile.	Body feels weak	3
There is a sharp pain in my ear whenever I do this.	Ear ache	5
When I walk up a flight of stairs, my right knee hurts.	Knee pain	18
i was travelling by ship and i feel dizzy.	Feeling dizzy	8
I feel a great pain in my shoulder when i try to lift something heavy	Shoulder pain	22
I do not know why I feel cold	Feeling cold	7
stiffness inability to look right or left except by moving the whole body	Neck pain	20
Every time I comb my hair there are so many hair in my comb.	Hair falling out	10
I have a great stomach ache and i can't eat any thing	Stomach ache	24
I cannot breathe because of this dull ache below my left shoulder.	Heart hurts	13
I have a dull ache in my stomach.  It gets worse after I eat.	Internal pain	16
I have shooting pains up and down my back.	Back pain	1
My hair is falling out in bunches.	Hair falling out	10
I have a cut that is red and swollen.	Infected wound	14
i feel head ache	Head ache	12
I feel very weak in my body	Body feels weak	3
I have difficulty in breathing in crowded places.	Hard to breath	11
i have a migrain and i took panadol but it doesnÕt help	Head ache	12
My kee is swallowing which indicates i have an infected wound	Infected wound	14
I feel emotionally crushed	Emotional pain	6
I have a throbbing in my joints	Joint pain	17
I don't have full range of motion with my arms	Shoulder pain	22
I get a knee pain when I walk a lot	Knee pain	18
severe pain in the upper left side of chest and may have pain to back	Heart hurts	13
I love to garden but I get a terrible twinge in my lower back when I lean over.	Back pain	1
I had an accident and my wound was open when I arrived to hospital	Open wound	21
I feel very hard to breathe	Hard to breath	11
I feel a burning sensation in my guts about 2 hours after each meal.	Stomach ache	24
Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.	Acne	0
I can't stand up or sit down I have a pain in my back that annoys me	Back pain	1
When I move on my shoulder, pain shoots down my arm	Shoulder pain	22
My entire body is freezing.	Feeling cold	7
I made lots and lots of analysis to know the main reason for my stomach ache	Stomach ache	24
When I think of my parents I feel pain	Emotional pain	6
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.	Ear ache	5
My skin is itching.	Skin issue	23
My neck is annoying me I can't sleep bacause of it	Neck pain	20
I have a pain in my joint	Joint pain	17
When I go to stand, my head starts swirling	Feeling dizzy	8
I have acne in my face and other problema in my derma like itching	Skin issue	23
I do not feel better in my muscles	Muscle pain	19
heavy breath with fatigue	Emotional pain	6
I had alot of exercise yesterday so i feel sharp muscle pains	Muscle pain	19
My knees swell right below the knee cap and hurt when I put weight on them.	Knee pain	18
my temperature dropped and my body get synosed	Feeling cold	7
When i get up i see my skin vague	Skin issue	23
When I tried to take care if my hair I found that it is falling out	Hair falling out	10
I noticed an important decrease in my vision when I try to look at things up close.	Blurry vision	2
i was watching tv and suddenly have blurry vision	Blurry vision	2
I feel muscle pain every time I make an extra effort.	Muscle pain	19
I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.	Injury from sports	15
I feel pain when i think of her	Emotional pain	6
I've always been very active but now I just don't have the strength or energy to go for even a short walk.	Body feels weak	3
I have an internal pain I cannot describe	Internal pain	16
In the morning my respiration is loud.	Hard to breath	11
cramps along the whole abdomen	Stomach ache	24
My sore looks like its not healing well.	Infected wound	14
I feel cold when the night comes	Feeling cold	7
I feel shoulder pain at intervals of time.	Shoulder pain	22
My muscle in my shoulder burns when I move my arm.	Muscle pain	19
It itches inside my ears.	Ear ache	5
My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.	Acne	0
I get clusters of whiteheads and blackheads on my back.	Acne	0
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder	Shoulder pain	22
My hair is falling without a reason, I can see a lot of hair on my working desk.	Hair falling out	10
Hearing any loud sounds makes my ear aches	Ear ache	5
I have acne all over my face	Acne	0
I feel a great amount of pressure on the sides of my neck	Shoulder pain	22
I think I sprained my ankle it really hurts.	Injury from sports	15
is my cut infected or just healing?	Infected wound	14
I feel really sad all the time.	Emotional pain	6
I feel something hurt me in taking breath and I cant take my breath	Hard to breath	11
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.	Hard to breath	11
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me	Stomach ache	24
my left side aches much	Internal pain	16
My ear hurts when I touch it.	Ear ache	5
You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.	Infected wound	14
These red spots on my cheeks are new. What is it?	Skin issue	23
I have a skin rash after eating an ice-cream.	Skin issue	23
I have a sharp pain in my abdomen.	Internal pain	16
I feel a strange and powerful pain inside my rib cage	Heart hurts	13
using hair tonic	Hair falling out	10
This long scar on my left buttock is from falling off my mountain bike.	Injury from sports	15
I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.	Emotional pain	6
I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.	Feeling cold	7
I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.	Shoulder pain	22
I have a blurry vision and i can't see in the darkness , what is the reason doctor ?	Blurry vision	2
When I'm tired I feel my head heavy	Head ache	12
i have difficulty moving my neck	Neck pain	20
My back hurts so much I can't bend down to tie my shoelaces.	Back pain	1
I have a ear ache when I go to the pool	Ear ache	5
My heart hurts when I exercise	Heart hurts	13
My neck hurts me and i can't stand with this pain	Neck pain	20
i have disterbance in my emotion	Emotional pain	6
Anytime I play tennis I feel a shoulder pain	Shoulder pain	22
i feel weak	Body feels weak	3
When I sneeze very hard I feel ear ache	Ear ache	5
I feel like my heart is on fire.	Heart hurts	13
When I lift my arms up I have a soreness in my shoulders	Shoulder pain	22
I feel a clicking sensation in my knee each time I step.	Joint pain	17
Surgical wound infections	Infected wound	14
redness, swelling, and difficulty walking	Knee pain	18
