phrase,prompt
I can't carry anything I have a pain in my shoulder,Shoulder pain
I walk every day but now I get short of breath after going only a short way.,Hard to breath
i feel head ache,Head ache
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache
His infected wound was beginning to rot.,Infected wound
I have an open wound in my arm,Open wound
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
I feel very weak in my body,Body feels weak
I have throbing in my shoulder,Shoulder pain
I feel depressed when I see my hair falling out,Hair falling out
"It is hard to breath when I am in the underground metro station, why?",Hard to breath
I'm having a hard time reading because the letters are all fuzzy,Blurry vision
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
My head gets dizzy when I try to get up.,Feeling dizzy
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
I could not exercise because of my knee pain,Knee pain
I have difficulty in breathing in crowded places.,Hard to breath
"my child has cough all night, she can't sleep",Cough
I have a back pain since I turned 70 years old.,Back pain
I feel like something is squeezing my lungs.,Hard to breath
I feel pain in the knee,Knee pain
My ankle joint throbs when I put pressure on my foot.,Joint pain
I always feel like I have menstrual pains even if I don't have my period.,Internal pain
In highschool I had a lot of acne.,Acne
I have a red rash that is itchy on my skin,Skin issue
i have pain like needles in my joints.,Joint pain
My foot had been aching since last Tuesday.,Foot ache
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold
longitudinal burning line across back with hard respiratory movements,Back pain
I feel aching on my insides.,Internal pain
My hair always falls out and i have lost a lot of hair lately,Hair falling out
My neck has been sore since the accident.,Neck pain
I have a headache almost every day,Head ache
i have a migrain and i took panadol but it doesnÕt help,Head ache
My back hurts a lot when I bend,Back pain
My chest hurts when I go to take a breath,Hard to breath
Have severe cold and cough,Cough
My kee is swallowing which indicates i have an infected wound,Infected wound
i feel sad,Emotional pain
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out
I feel like I can hardly breathe unless I get what's in my lungs out,Cough
My throught is so sore.,Neck pain
"My body feels weak although I eat a lot, why?",Body feels weak
my ankle is hurting me,Joint pain
I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound
"My heart hurts while I'm sad, why?",Heart hurts
Everything looks like beeing in a smoky area.,Blurry vision
My body feels like it's in a refrigerator.,Feeling cold
"I've tried reading books, but nothing can cheer me up.",Emotional pain
Sterilizer for the eye,Blurry vision
My chest hurts when I go to take a breath,Hard to breath
"My heart hurts while I'm sad, why?",Heart hurts
Everything looks like beeing in a smoky area.,Blurry vision
I feel pain in the knee when walking,Knee pain
I have a red rash that is itchy on my skin,Skin issue
I feel like l fell in hot water,Skin issue
"My body feels weak although I eat a lot, why?",Body feels weak
My body aches on the inside between my hips and shoulders.,Internal pain
My ankle joint throbs when I put pressure on my foot.,Joint pain
I'm not hearing well I have problem with my ear,Ear ache
I feel emotionally crushed,Emotional pain
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I have a pain in my head,Head ache
I have a throbbing in my joints,Joint pain
I have a hard muscle pain since i went to the gym,Muscle pain
I don't have full range of motion with my arms,Shoulder pain
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath
The area around my heart doesn't feel good.,Heart hurts
I get a knee pain when I walk a lot,Knee pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I got acne when I ate chili,Acne
I usually have a bad cough when I get flu.,Cough
I have a neck pain when I sit in-front of my laptop.,Neck pain
severe pain in the upper left side of chest and may have pain to back,Heart hurts
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain
i have a pain in my elbow joint,Joint pain
I had an accident and my wound was open when I arrived to hospital,Open wound
I don't do anything at home and still I feel exhausted.,Body feels weak
I feel very hard to breathe,Hard to breath
My lower back hurts but it improves if I stretch it,Muscle pain
I feel a burning sensation in my guts about 2 hours after each meal.,Stomach ache
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne
I can't stand up or sit down I have a pain in my back that annoys me,Back pain
"When I move on my shoulder, pain shoots down my arm",Shoulder pain
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain
i was travelling by ship and i feel dizzy.,Feeling dizzy
my hair isn't well,Hair falling out
I have a pain in my stomach,Internal pain
I have a great stomach ache and i can't eat any thing,Stomach ache
My entire body is freezing.,Feeling cold
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I feel a soreness in my knees when I walk,Joint pain
There is a sharp pain in my bicep,Muscle pain
i can hardly breathe,Hard to breath
I toppled over while jumping to catch the ball.,Injury from sports
When I wake up in the morning I feel a soreness in my body,Muscle pain
I get an ear ache when it is cold,Ear ache
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
I feel great pain in the head,Head ache
I feel pain in my throat,Cough
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
I have a hair shortage,Hair falling out
I fell a stiffness in my elbows and shoulders,Joint pain
I'm suffering from sharp cough Accompanied by  phlegm,Cough
i have issue with my skin,Skin issue
He was discovered to have an open wound.,Open wound
When I think of my parents I feel pain,Emotional pain
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
I feel a sharp pain in my ankle joint when I stand.,Joint pain
Sometimes I cough because I'm a smoker,Cough
My foot hurts me a lot of playing football,Foot ache
My hair is falling when I am combing it.,Hair falling out
The pain in my ear is unbearable.,Ear ache
Chronic bowel Pain,Internal pain
"My stomach aches after I drink any soda drink, why?",Stomach ache
My knees ache on cold and rainy days.,Knee pain
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
My skin is itching.,Skin issue
I feel pain in my right shoulder after the tennis match.,Injury from sports
My shower drain is full of hair every time.,Hair falling out
I have a pain in my stomach,Internal pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne
I felt my heart hurts when I ran for along distance,Heart hurts
I don't have full range of motion with my arms,Shoulder pain
My neck is annoying me I can't sleep bacause of it,Neck pain
"My stomach aches after I drink any soda drink, why?",Stomach ache
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain
I have a hair shortage,Hair falling out
I feel a pain in my neck,Neck pain
i feel pain in my back,Back pain
I think my body temperature is very low.,Feeling cold
I have a pain in my joint,Joint pain
I can't get a girlfriend because of my acne.,Acne
"When I go to stand, my head starts swirling",Feeling dizzy
I was kicked in the head playing soccer last night.,Injury from sports
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
I have pimples in patches along with a lot of redness on my face.,Acne
I have acne in my face and other problema in my derma like itching,Skin issue
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",Acne
I have blurry vision after I used a wrong medicine.,Blurry vision
I have terrible pain in my heart,Heart hurts
I get a knee pain when I walk a lot,Knee pain
i have injured myself during the soccer match,Injury from sports
My neck is annoying me I can't sleep bacause of it,Neck pain
My shoulder muscle hurts when I try to reach up.,Muscle pain
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
I have a pain in my stomach,Internal pain
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
I do not feel better in my muscles,Muscle pain
His infected wound was beginning to rot.,Infected wound
I used to have acne when I was 15 years old,Acne
heavy breath with fatigue,Emotional pain
glass broken and wound my leg badly the wound is so wide,Open wound
i can't see well,Blurry vision
I have a throbbing in my joints,Joint pain
I hate my acne.,Acne
My back got injured while i was lifting at the gym,Injury from sports
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain
I'm not feeling good I can't take my breath,Hard to breath
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain
I cannot breathe because of this dull ache below my left shoulder.,Heart hurts
My knees swell right below the knee cap and hurt when I put weight on them.,Knee pain
when i was washing my hair it was falling out heavily,Hair falling out
My muscles in my lower back are aching.,Muscle pain
I feel pain when parting loved ones,Emotional pain
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound
I have throbing in my shoulder,Shoulder pain
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
fell skull is cracked like nuts,Head ache
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath
i have a pain in my elbow joint,Joint pain
The warming system of my house is broken and  feel so cold,Feeling cold
I can`t stop coughing.,Cough
i have shoulder pain after doing any home work.,Shoulder pain
I have a lot of mucus when I cough.,Cough
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
I have pain in my colon and my stomach like something cutting it,Stomach ache
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
Stomach pain after drinking milk,Stomach ache
When I walk it's hard to breath.,Hard to breath
When I play football I have joint pain.,Joint pain
my temperature dropped and my body get synosed,Feeling cold
I feel so sore in my stomach area.,Stomach ache
When i get up i see my skin vague,Skin issue
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
I have pimples on my back.,Acne
When I tried to take care if my hair I found that it is falling out,Hair falling out
"I fell through a window while I was cleaning it and I have a shard of glass stuck in my left eye, I think it is pretty serious, please help!",Open wound
I feel lightheaded,Feeling dizzy
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold
I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision
I'm not feeling good I get infection wound,Infected wound
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound
My back hurts me and i can't bend it or walk,Back pain
I feel heart pain when I walk a lot,Heart hurts
My husband has a spot on his lip that he though was cold sore but now it has broken open and leaks fluid all day.,Infected wound
I had an accident and my wound was open when I arrived to hospital,Open wound
i was watching tv and suddenly have blurry vision,Blurry vision
I feel muscle pain every time I make an extra effort.,Muscle pain
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain
I have a headache every time I eat ice cream,Head ache
itch at front and center of scalp,Hair falling out
Every time I comb my hair there are so many hair in my comb.,Hair falling out
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports
i was watching tv and suddenly have blurry vision,Blurry vision
I have an open wound in my arm,Open wound
my back hurts me a lot,Back pain
"My body feels weak after my first day in the gym, why?",Body feels weak
When I play football I have joint pain.,Joint pain
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
My kneecap feels like it is grating bone on bone when I walk.,Knee pain
I feel pain in my knee when I climb the stairs.,Joint pain
I feel pain when i think of her,Emotional pain
there is acne on my face,Acne
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.",Internal pain
I have a back pain since I fell on the floor.,Back pain
"It's hard to stand up, and I'm moving very slowly",Body feels weak
my neck hurts me and i can't look down or up,Neck pain
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound
I feel like the room is spinning,Feeling dizzy
I lose a lot of my hair,Hair falling out
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
"i feel hurt, lot of pain in my heart",Emotional pain
I feel increased heart rate with prick,Heart hurts
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound
when i wake up in the morning i feel dizzy,Feeling dizzy
My foot had been aching since last Tuesday.,Foot ache
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold
My kee is swallowing which indicates i have an infected wound,Infected wound
My lungs feel heavy like they are filled with mucus,Cough
I have pimples on my back.,Acne
i have a migrain and i took panadol but it doesnÕt help,Head ache
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak
My body aches on the inside between my hips and shoulders.,Internal pain
I feel like l fell in hot water,Skin issue
I feel a great pain in my shoulder joint and it does not go away,Joint pain
Have severe cold and cough,Cough
i have a problem in my middle ear made by infection,Ear ache
When I stand I feel dizzy I do not know why,Feeling dizzy
My joints feel swollen,Joint pain
My neck has been sore since the accident.,Neck pain
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain
I'm not feeling good I get infection wound,Infected wound
i'm injured i can't play sports,Injury from sports
I had a pain in my knee when I was swimming,Knee pain
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
After an hard working day I have foot ache,Foot ache
I feel like I can hardly breathe unless I get what's in my lungs out,Cough
"Every time I make an effort, I felt dizzy.",Feeling dizzy
I feel aching on my insides.,Internal pain
my head hurts me badly,Head ache
Every time it rains I get hives on my belly and sides.,Skin issue
My foot had been aching since last Tuesday.,Foot ache
i have a migrain and i took panadol but it doesnÕt help,Head ache
I have a headache almost every day,Head ache
When I was young I had an injury from sports in my knee.,Injury from sports
i feel dizzy after severe diarrhea,Feeling dizzy
Oh my heart hurts me I tried to be calm and I can't,Heart hurts
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
My arm hurts when I stretch,Muscle pain
I used to have acne when I was 15 years old,Acne
I have an internal pain I cannot describe,Internal pain
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache
When I played football I dislocated my shoulder,Injury from sports
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I feel joint pain every time I move,Joint pain
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound
I have a pain internal,Internal pain
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache
I cannot breathe because of this dull ache below my left shoulder.,Heart hurts
stiffness inability to look right or left except by moving the whole body,Neck pain
severe pain in the upper left side of chest and may have pain to back,Heart hurts
I had alot of exercise yesterday so i feel sharp muscle pains,Muscle pain
there is a red stain in my skin,Skin issue
when i was washing my hair it was falling out heavily,Hair falling out
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I have this strange rash on my arm.,Skin issue
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
My infected wound caused a fever,Infected wound
It feels like someone stuck a knife into my shoulder,Shoulder pain
When I carry heavy things i feel like breaking my back,Back pain
My knees swell right below the knee cap and hurt when I put weight on them.,Knee pain
my hand open wound got infected,Infected wound
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache
I have a headache every time I eat ice cream,Head ache
I cannot get warm no matter how much I wrap up or how high I put the heating on,Feeling cold
"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain
In the morning my respiration is loud.,Hard to breath
My shoulder hurts when I try to reach something above my head.,Shoulder pain
My sore isn't healing well and it's been like this for two weeks.,Open wound
My head hurts in the back and the pain lasts all day.,Head ache
My ear is ringing.,Ear ache
Is pimples a skin disease?,Acne
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain
i can hardly breathe,Hard to breath
My head is spinning when I get up.,Feeling dizzy
cramps along the whole abdomen,Stomach ache
It hurts when I raise my arm up,Shoulder pain
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
"My body feels weak after my first day in the gym, why?",Body feels weak
My sore looks like its not healing well.,Infected wound
I knocked my foot and it really hurts.,Foot ache
I feel dizzy whenever I stand up.,Feeling dizzy
Oh my heart hurts me I tried to be calm and I can't,Heart hurts
My biceps started aching after I went to the gym,Muscle pain
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
I have difficulty in breathing in crowded places.,Hard to breath
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
"i was playing basketball yesterday, i have sprained ankle",Injury from sports
My head gets dizzy when I try to get up.,Feeling dizzy
there pain in my foot,Foot ache
I feel a sharp pain in my ankle joint when I stand.,Joint pain
i feel cold,Feeling cold
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision
My knee catches and hurts when I first stand up after sitting.,Knee pain
Sometimes my body feels week without reason,Body feels weak
"My heart hurts while I'm sad, why?",Heart hurts
i have a hard pain in my stomach,Stomach ache
I have a headache almost every day,Head ache
Have severe cold and cough,Cough
I get big patches of irritated pimples on my back and they hurt.,Acne
i feel sad,Emotional pain
My kee is swallowing which indicates i have an infected wound,Infected wound
Is there a cure for acne?,Acne
having difficulty moving my knee,Knee pain
I feel cold when the night comes,Feeling cold
My chest hurts when I go to take a breath,Hard to breath
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
i have a migrain and i took panadol but it doesnÕt help,Head ache
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I've always been very active but now I just don't have the strength or energy to go for even a short walk.,Body feels weak
"i can't walk, my knee hurts me",Knee pain
i feel that is great pain in my left shoulder,Shoulder pain
My hair always falls out and i have lost a lot of hair lately,Hair falling out
i have a problem in my middle ear made by infection,Ear ache
longitudinal burning line across back with hard respiratory movements,Back pain
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath
i have severe dry cough,Cough
i have pain like needles in my joints.,Joint pain
I feel like l fell in hot water,Skin issue
"Every time I make an effort, I felt dizzy.",Feeling dizzy
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue
My body feels like it's in a refrigerator.,Feeling cold
I always feel like I have menstrual pains even if I don't have my period.,Internal pain
I have difficulty in breathing in crowded places.,Hard to breath
The severe pain in the stomach I feel,Stomach ache
I feel a sharp pain in my head when I think too hard.,Head ache
I have a foot ache although I don't walk a lot.,Foot ache
chronic disease of hair follicles and sebaceous glands.,Acne
I don't have problems taking in breath but out breath is so heavy,Hard to breath
I can't walk because i have a great foot ache,Foot ache
I have internal pain whenever I come down with a cold.,Internal pain
My knee hurts when I walk,Knee pain
My knee is hurting so badly.,Joint pain
i can't ride my car at night because i have blurry vision.,Blurry vision
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
I can't stop coughing,Cough
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
Mr hair is falling out just by combing it.,Hair falling out
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I feel dizzy whenever I stand up.,Feeling dizzy
I can`t stop coughing.,Cough
I'm feeling nauseous,Stomach ache
"when i get up, i feel dizzy and fall down.",Feeling dizzy
i feel pain in my body,Internal pain
The acne was causing me to feel embarrassed.,Acne
"I am always cold, even when I am wearing layers",Feeling cold
I feel pain in my head with a vertigo,Head ache
when i was washing my hair it was falling out heavily,Hair falling out
My infected wound caused a fever,Infected wound
My head hurts when I'm doing this.,Head ache
There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache
My ear ache when I'm listening to music.,Ear ache
i'm injured i can't play sports,Injury from sports
I have a foot ache although I don't walk a lot.,Foot ache
I feel shoulder pain at intervals of time.,Shoulder pain
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
i feel pain in my body,Internal pain
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold
When i eat i feel my stomach hurts,Stomach ache
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath
I can't see the sign I have a blurry vision,Blurry vision
My muscle in my shoulder burns when I move my arm.,Muscle pain
I have a feeling like my whole body is complaining,Joint pain
I think my body temperature is very low.,Feeling cold
i have a pain in my trapes,Muscle pain
My upper back has been sore for a week.,Back pain
My knees ache on cold and rainy days.,Knee pain
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain
What's the symptoms of appendicitis?,Internal pain
It itches inside my ears.,Ear ache
There is a tingling sensation in my neck.,Neck pain
I think there's fluid in my ears.,Ear ache
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",Acne
When i'm doing sport I have pain under my skin,Muscle pain
"When I walk up a flight of stairs, my right knee hurts.",Knee pain
When i'm driving my eyes see in double,Blurry vision
I have shooting pains up and down my back.,Back pain
I have the impression of having no strength in my body,Body feels weak
How do you know if you have a torn meniscus in your knee?,Knee pain
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
I have pain in my chest that saddens me.,Heart hurts
In the morning my respiration is loud.,Hard to breath
I have a cut that is red and swollen.,Infected wound
I've got a hard time to breath- am I having a heart attack?,Hard to breath
"Even if the temperature is high in the house,  my body is always cold",Feeling cold
My shoulder hurts when I try to reach something above my head.,Shoulder pain
I have shooting pains up and down my back.,Back pain
My head hurts whenever I try to do something.,Head ache
The pain feels like it's right below the skin,Muscle pain
My knee hurts when I walk,Knee pain
There is this pain that radiates from my chest up to my left arm.,Heart hurts
I get clusters of whiteheads and blackheads on my back.,Acne
discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain
I have tried to make massage on my foot but they still pain me,Foot ache
I have a foot ache although I don't walk a lot.,Foot ache
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
When i eat i feel my stomach hurts,Stomach ache
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
I feel shoulder pain at intervals of time.,Shoulder pain
"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out
"can't do any exercise, i feel weak",Body feels weak
I have throbing in my shoulder,Shoulder pain
Hearing any loud sounds makes my ear aches,Ear ache
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain
I had a pain in my knee when I was swimming,Knee pain
I can't do anything I feel a weak in my body,Body feels weak
Every time I look to left I feel a sharp pain in my neck.,Neck pain
There are some pimples on my face that bother me a lot,Acne
When I wake up in the morning I feel a soreness in my body,Muscle pain
I have pain in my stomach,Stomach ache
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache
My wound opened up again,Open wound
I was very active in sports but now my body is feeling pain.,Injury from sports
I feel pain in my back,Back pain
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
I feel strong pain in my knee after it was hit during the football match.,Injury from sports
I have a dull ache in  my lower back which makes it difficult to move,Back pain
There is a sharp pain in my bicep,Muscle pain
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound
There's swelling in my neck and it hurts.,Neck pain
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
When I go to sleep I am feeling cold,Feeling cold
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold
I stopped sports because I get Injury from sports,Injury from sports
My shoulder hurts when I try to reach something above my head.,Shoulder pain
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath
All of a sudden I felt dizzy when I stood up.,Feeling dizzy
i have a problem in my back i cannot extend it,Back pain
My sore isn't healing well and it's been like this for two weeks.,Open wound
I have dark spots on my skin,Skin issue
My head hurts in the back and the pain lasts all day.,Head ache
I feel pain in my ears with tinnitus,Ear ache
I have a sharp pain in my lower stomach.,Stomach ache
My sore looks like its not healing well.,Infected wound
i have a problem in seeing objects it is too difficult to see,Blurry vision
The crushing sensation on my heart leaves me breathless.,Heart hurts
severe pain in the upper left side of chest and may have pain to back,Heart hurts
I feel joint pain every time I move,Joint pain
Every time I comb my hair there are so many hair in my comb.,Hair falling out
I felt my heart hurts when I ran for along distance,Heart hurts
I love to garden but I get a terrible twinge in my lower back when I lean over.,Back pain
I have a throbbing in my joints,Joint pain
I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain
"i can't move my leg, there is pain in the joint",Joint pain
I feel congestion in my chest,Cough
Sometimes I cough because I'm a smoker,Cough
My shower drain is full of hair every time.,Hair falling out
My skin is itching.,Skin issue
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
I'm not good i feel dizzy,Feeling dizzy
I feel depressed when I see my hair falling out,Hair falling out
I get terrible headaches every few months and when I get them my vision is affected.,Head ache
I fell a stiffness in my elbows and shoulders,Joint pain
I have a pain in my joint,Joint pain
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,Shoulder pain
I have a hair shortage,Hair falling out
I have acne all over my face,Acne
My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath
Have severe cold and cough,Cough
My kee is swallowing which indicates i have an infected wound,Infected wound
Everything looks like beeing in a smoky area.,Blurry vision
I feel like the world goes round and round,Feeling dizzy
My back hurts a lot when I bend,Back pain
I feel sad like hurt or pain,Emotional pain
I always feel like I have menstrual pains even if I don't have my period.,Internal pain
I feel a great pain in my shoulder joint and it does not go away,Joint pain
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
I feel a great amount of pressure on the sides of my neck,Shoulder pain
I feel aching on my insides.,Internal pain
I feel like something is squeezing my lungs.,Hard to breath
My chest hurts when I go to take a breath,Hard to breath
i hit the ground when trying to shoot a basketball,Injury from sports
The joints in my fingers are painful in the morning.,Joint pain
i feel sad,Emotional pain
"my child has cough all night, she can't sleep",Cough
I feel like I've always got something in my throat,Cough
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports
I feel emotionally crushed,Emotional pain
I get big patches of irritated pimples on my back and they hurt.,Acne
Sometimes my body feels week without reason,Body feels weak
My neck has been sore since the accident.,Neck pain
I think I sprained my ankle it really hurts.,Injury from sports
I have some pain when i'm walking around my knees,Joint pain
I get chills and aches all over.,Feeling cold
My skin is very dry and peeling.,Skin issue
In the morning my respiration is loud.,Hard to breath
I was very active in sports but now my body is feeling pain.,Injury from sports
My hair is falling out in bunches.,Hair falling out
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache
I think there's fluid in my ears.,Ear ache
When I get out of bed in the morning my body feels very weak.,Body feels weak
Since I went into the forest  I have pain on my ear,Ear ache
It itches inside my ears.,Ear ache
When i'm driving my eyes see in double,Blurry vision
When I play sports  I have some burning sensation in my spine,Back pain
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
is my cut infected or just healing?,Infected wound
My head hurts in the back and the pain lasts all day.,Head ache
I have shooting pains up and down my back.,Back pain
I've been over my cold for weeks but still cough every day.,Cough
My shoulder hurts when I try to reach something above my head.,Shoulder pain
I can't turn my neck to the left without feeling a stabbing pain,Neck pain
My knees seem to grind as I go up or down stairs.,Knee pain
I have pain in my chest that saddens me.,Heart hurts
I feel really sad all the time.,Emotional pain
My arm hurts when I stretch,Muscle pain
I feel pain in my heart when I wake up,Heart hurts
I don't have full range of motion with my arms,Shoulder pain
I have throbing in my shoulder,Shoulder pain
I can't stand up or sit down I have a pain in my back that annoys me,Back pain
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache
"When I move on my shoulder, pain shoots down my arm",Shoulder pain
I get a knee pain when I walk a lot,Knee pain
I feel something hurt me in taking breath and I cant take my breath,Hard to breath
I feel pain when i think of her,Emotional pain
My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.,Hard to breath
Yesterday I had a shouder pain,Shoulder pain
When I wake up I am feeling cold,Feeling cold
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache
I feel pain in my neck after waking up,Neck pain
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough
I feel pain inside I do not know what it is,Internal pain
My head hurts whenever I try to do something.,Head ache
i feel pain in my neck,Neck pain
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
I feel heart pain when I walk a lot,Heart hurts
The pain feels like it's right below the skin,Muscle pain
I don't have the energy to do the things that I used to,Body feels weak
