,phrase,prompt
688,"더 이상 대처할 수없는 것 같고, 압도 당하고, 휴식을 취할 수없는 것 같습니다.",정서적 고통
33,더워지면 여드름이 심해져,좌창
199,두피 앞과 중앙의 가려움,머리카락이 빠지다
5,"등 근육통이 있어요
뒷다리에 근육통이 있습니다",발 통증
188,등 뒤의 피부색이 빨갛다. 이유는 모르겠다.,피부 문제
616,등 위아래로 쏘는 통증이 있습니다.,허리 통증
122,등이 너무 아파요.,허리 통증
300,등이 많이 아프다,허리 통증
24,등이 아파서 구부리거나 걸을 수 없어,허리 통증
22,등이 아파요,허리 통증
342,등이 아파요,허리 통증
204,따뜻하고 옷을 더 입으려고했을 때 아직 차가워,추워요
34,때로는 가슴에 발톱이있어 숨이 막힐 때가 있습니다.,호흡 곤란
104,러닝화를 신고 500m 달리다가 발이 아파요.,발 통증
388,마당에서 그 모든 목재를 가져 왔을 때 내가 그것을 과장했다고 생각합니다. 내 허리가 나를 죽이고있다.,허리 통증
338,마음이 아파요,심장이 아파
106,마음이 아파요,정서적 고통
182,마지막 축구 경기에서 부상을 입고 관절이 아파요.,관절 통증
242,만성 장 통증,내부 통증
680,만지면 귀가 아파요.,귀 통증
193,많이 걷지는 않지만 발이 아파요.,발 통증
627,많이 걸 으면 무릎이 아파요,무릎 통증
79,많이 걸을 때 가슴이 아파요,심장이 아파
11,많이 걸을 때 무릎이 아파요,무릎 통증
632,매 식사 후 약 2 시간 후에 내장에 타는듯한 느낌이 듭니다.,복통
316,매분 내 피부를 긁어 내야 해,피부 문제
351,매일 아침 일어나면 목이 잘못 잤다는 느낌이 듭니다.,근육통
250,머리가 등이 아파서 하루 종일 계속됩니다.,두통
112,머리가 심하게 아프다,두통
113,머리를 감을 때 심하게 빠졌어요,머리카락이 빠지다
155,머리를 빗었을 때 큰 머리카락이 빗속에서 나오는 것을 발견했습니다.,머리카락이 빠지다
612,머리를 빗을 때마다 머리가 너무 많아요.,머리카락이 빠지다
402,머리를 위아래로 움직일 수 없습니다.,목 통증
170,머리카락이 끔찍하게 떨어졌습니다.,머리카락이 빠지다
233,머리카락이 많이 빠진다,머리카락이 빠지다
20,머리카락이 많이 빠진다,몸이 약한 느낌
43,머리카락이 엄청나게 빠진다,머리카락이 빠지다
93,머릿속에 둔한 통증이 있어요,두통
339,먹은 후 배가 아파요,복통
429,멀리 달릴 때 가슴이 아파요,심장이 아파
398,며칠 전 비행기로 여행했는데 이번에는 착륙하는 동안 귀가 막히고 고통 스러웠습니다.,귀 통증
311,모낭 및 피지선의 만성 질환,좌창
50,모낭과 피지선의 만성 질환.,좌창
240,모든 것이 연기가 자욱한 지역에있는 것처럼 보입니다.,흐릿한 시야
672,목 옆에 엄청난 압력이 가해집니다,어깨 통증
48,목에 강력한 통증이 있어요,목 통증
287,목에 끊임없는 간지럼이 있어요,기침
44,목에 날카로운 통증이 있습니다,목 통증
600,목에 따끔 거림이 있습니다.,목 통증
71,목을 돌릴 수 없습니다,목 통증
693,목을 움직이는 데 어려움이 있습니다,목 통증
641,목이 귀찮아서 잠이 안와,목 통증
174,목이 너무 아파요.,목 통증
82,목이 마르다,기침
360,목이 붓고 아파요.,목 통증
276,목이 뻣뻣 해,목 통증
295,목이 아파서 위를 내려다 보거나 볼 수 없습니다.,목 통증
94,목이 아파요,목 통증
118,목이 아파요,목 통증
697,목이 아프고이 고통을 참을 수 없어,목 통증
28,몸이 약하다고 느끼는 건 아무것도 할 수 없어,몸이 약한 느낌
148,몸이 약해져 긴장을 풀려고 노력했지만 여전히 고통스러워,몸이 약한 느낌
1,무거운 물건을 들고 다닐 때 등이 부러지는 느낌,머리카락이 빠지다
312,무거운 물건을 짊어지면 등이 부러지는 기분,허리 통증
359,무릎 뒤쪽에 뭔가 부어 오르고 염증이 생긴 것 같습니다.,무릎 통증
258,무릎 주위를 걸을 때 약간의 고통이 있습니다.,관절 통증
169,무릎 통증 때문에 운동을 할 수 없었습니다,무릎 통증
143,무릎에 찢어진 반월판이 있는지 어떻게 알 수 있습니까?,무릎 통증
443,무릎을 움직이기 힘들다,무릎 통증
178,무릎이 너무 아파서 걸을 때보 다 더 많이 앉아 있습니다.,무릎 통증
205,무릎이 너무 아파요.,관절 통증
648,무릎이 무릎 캡 바로 아래로 부풀어 오르고 무게를 실을 때 아파요.,무릎 통증
39,무릎이 아파요,무릎 통증
202,무릎이 아파요,무릎 통증
252,무릎이 잘 구부러지고 싶지 않습니다.,무릎 통증
237,무언가가 내 폐를 압박하고있는 것 같습니다.,호흡 곤란
25,뭔가를하려고 할 때마다 머리가 아파요.,두통
101,바닥에 쓰러져 허리가 아파요.,허리 통증
12,박사. 흉곽 안에 이상하고 강력한 통증이 느껴져,심장이 아파
91,발 뒤꿈치를 신으면 발바닥이 아파,발 통증
297,발목 관절에 서서 걸을 때 날카로운 통증과 딸깍 거리는 소리가납니다.,관절 통증
335,발목 수술 중에 신경이 너무 손상되어 흉터에 닿아도 참을 수 없습니다.,발 통증
673,발목을 삐었나 봐요. 정말 아파요.,스포츠로 인한 부상
428,발목의 삼중 골절로 인해 끝없는 통증이 발생했기 때문에 왼발로 뛸 수 없습니다.,발 통증
37,발목이 아프다,관절 통증
272,발을 두 드렸는데 정말 아파요.,발 통증
704,발을 딛을 때마다 무릎에 딸깍하는 느낌이 듭니다.,관절 통증
84,발이 너무 아파요.,발 통증
74,발이 아파서 걸을 수 없습니다,발 통증
271,발이 아파서 돌릴 수 없습니다. 고장 났을 수도 있습니다.,발 통증
194,발이 아파요,발 통증
706,"발적, 부기 및 걷기 어려움",무릎 통증
662,밤이 오면 추워,추워요
139,배가 너무 아파요.,복통
98,배가 몹시 아프다,복통
120,배가 아파요,복통
319,배가 아파요,복통
275,"배가 아파지기 시작하지만, 가벼운 것을 먹으면 기분이 좋아집니다.",복통
27,뱃속에 날카로운 통증이 느껴져,내부 통증
660,복부 전체를 따라 경련,복통
637,복통의 주요 원인을 알기 위해 많은 분석을했습니다.,복통
638,부모님 생각하면 아파,정서적 고통
225,사고 이후로 목이 아팠습니다.,목 통증
145,사랑하는 사람과 헤어질 때 고통을 느낀다,정서적 고통
64,사물을 보는 데 문제가 있습니다.보기가 너무 어렵습니다.,흐릿한 시야
326,사물을보기 힘들다,흐릿한 시야
221,상처 나 아픔처럼 슬퍼,정서적 고통
251,상처가 더 빨리 치유되는 데 도움이되는 것은 무엇입니까?,열린 상처
321,상처는 아직 열려있어,열린 상처
153,새 안경을 써도 텔레비전과 컴퓨터의 초점이 맞지 않는 것 같습니다.,흐릿한 시야
643,서 있으면 머리가 빙빙 돌기 시작합니다,어지러운
249,서있을 때 발목 관절에 날카로운 통증을 느낍니다.,관절 통증
166,서있을 때 어지러워 왜인지 모르겠어,어지러운
658,설명 할 수없는 내부 통증이 있습니다,내부 통증
267,설탕을 너무 많이 먹으면 몸이 약해지고 어지러워집니다.,몸이 약한 느낌
322,설탕을 먹으면 시야가 흐려집니다.,흐릿한 시야
446,세상이 빙글 빙글 돌아가는 것 같아,어지러운
434,세탁물을 집 으려고 할 때 왜 어깨가 아파요?,어깨 통증
260,손에 깊은 상처를 받았고 출혈을 멈출 수 없습니다,감염된 상처
78,손을 뻗으려고하면 어깨 근육이 아파요.,근육통
89,"수술 상처가 붉어지고, 고름을 뿜고, 고통스럽고 만지면 뜨겁습니다.",감염된 상처
15,수십 개의 계단을 오르고 숨이 멎 었는데 지금은 앉을 때도 숨이 멎습니다.,호흡 곤란
655,수영 강습을 받기 시작했는데 코로 물을 너무 많이 삼킨 것 같습니다.이 부비동염이 지금 저를 죽이고 있기 때문입니다.,스포츠로 인한 부상
695,수영장에 갈 때 귀가 아파요,귀 통증
66,수영장에서 수영하는 동안 시야가 흐릿합니다. 왜 그렇습니까?,흐릿한 시야
439,숨을 쉬러 가면 가슴이 아파,호흡 곤란
676,숨을들이 마시다가 아파서 숨을 쉴 수가 없어,호흡 곤란
340,숲에 들어가서 귀가 아파,귀 통증
55,스쿼시를 할 때 무릎이 아파,무릎 통증
109,스포츠로 인해 부상을 입어서 스포츠를 중단했습니다,스포츠로 인한 부상
128,스포츠를 할 때 척추에 타는듯한 느낌이 있습니다.,허리 통증
291,스포츠를 할 때 피부 아래에 통증이 있습니다.,근육통
285,슬퍼도 맘이 아파 왜,심장이 아파
201,시야가 흐려서 밤에 차를 탈 수 없습니다.,흐릿한 시야
433,시야가 흐려졌습니다.,흐릿한 시야
691,시야가 흐릿하고 어둠 속에서도 보이지 않는데 그 이유는 무엇입니까?,흐릿한 시야
284,시야가 흐릿한 신호가 보이지 않습니다.,흐릿한 시야
116,심장 손상으로 흉부에 큰 통증이 있습니다.,심장이 아파
173,심장이 너무 아파,심장이 아파
364,심장이 빠르게 뛰고 숨쉬기가 힘듭니다.,호흡 곤란
241,심한 감기와 기침,기침
372,심한 마른 기침이 있습니다,기침
21,심한 설사 후에 어지러워 요,어지러운
110,심호흡 할 때마다 기침이 시작됩니다,기침
206,쓰러진 두개골은 견과류처럼 갈라져,두통
10,아랫배에 날카로운 통증이 있습니다.,복통
683,아이스크림을 먹은 후 피부 발진이 생깁니다.,피부 문제
405,아이스크림을 먹을 때마다 두통이 있어요,두통
288,아침에 베개에 털이 많아요.,머리카락이 빠지다
586,아침에 손가락 관절이 아파요.,관절 통증
235,아침에 일어나면 몸이 아파요,근육통
42,아침에 일어나면 어지러워,어지러운
254,아침에 일어나면 이상하고 현기증이 있습니다.,어지러운
88,아침에 침대에서 일어나면 몸이 매우 약해집니다.,몸이 약한 느낌
659,아침에 호흡이 큽니다.,호흡 곤란
41,아파서 어깨를 움직일 수 없어,어깨 통증
229,안좋아 너무 추워,추워요
61,앉은 후 처음 일 어설 때 무릎이 붙고 아파요.,무릎 통증
307,어깨 관절에 큰 통증을 느끼고 사라지지 않습니다.,관절 통증
59,어깨 근육에 타는듯한 느낌이 듭니다.,근육통
350,어깨가 아프다,어깨 통증
635,어깨로 움직일 때 아픔이 내 팔을 쏘아,어깨 통증
190,어깨를 움직이면 마치 번개가 내 어깨를 통과하는 것 같아,어깨 통증
142,어깨에 통증이있는 ​​건 아무것도 짊어지지 않는다,어깨 통증
367,어렸을 때 무릎 운동으로 부상을 입었습니다.,스포츠로 인한 부상
87,어른인데도 얼굴에 자꾸 여드름이 난다.,좌창
197,어제 농구를했는데 발목이 삐 었어,스포츠로 인한 부상
102,어지러워,어지러운
246,얼굴에 많은 홍조와 함께 패치에 여드름이 있습니다.,좌창
8,얼굴에 여드름이 있고 피부에 가려움증과 같은 다른 문제가 있습니다.,피부 문제
644,얼굴에 여드름이 있고 피부에 가려움증과 같은 다른 문제가 있습니다.,피부 문제
154,엄지와 검지 사이의 피부가 끊어져서 닫히지 않습니다.,열린 상처
315,"엄청난 무게에 짓 눌린 느낌이 들고 폐로 공기가 흐르지 않는 경우가 있는데, 실제로 그런 일이 발생하면 정말 무서워요.",호흡 곤란
280,여드름 때문에 당황 스러웠습니다.,좌창
386,여드름 때문에 여자 친구를 사귈 수 없습니다.,좌창
219,여드름 치료제가 있습니까?,좌창
332,여드름은 피부병입니까?,좌창
32,여드름을 만지면 깊은 따끔 거림을 느낀다.,좌창
365,여드름이 가렵고 스며 듭니다.,좌창
369,여름인데도 추워요.,추워요
51,여자 친구와 헤어진 후 엄청난 감정적 고통을 느낀다.,정서적 고통
141,"열상, 파열 또는 피부 개방",열린 상처
329,오 내 맘이 아파 침착 해 지려고했지만 못해,심장이 아파
370,오늘 아침에 일어나서 시야가 흐릿합니다. 그 이유는 무엇일까요?,흐릿한 시야
274,오른쪽 엉덩이에서 흉곽으로 퍼지는 통증이 있습니다. 내가 소변을 볼 때 최악입니다.,내부 통증
54,온몸이 불평하는 것 같은 느낌,관절 통증
412,옷이 무거워도 춥고 오한,추워요
117,왜 내가 끊임없이 슬퍼하는지 모르겠다.,정서적 고통
705,외과 적 상처 감염,감염된 상처
99,왼쪽 귀는 괜찮지 만 오른쪽 귀는 못에 찔린 것 같습니다.,귀 통증
6,왼쪽 다리에 근육통이 있습니다,어깨 통증
385,요즘 아주 슬펐어요,정서적 고통
126,우리 아이는 밤새도록 기침을해서 잠을 못 자,기침
320,우유를 마신 후 복통,복통
376,운동 후 슬개골에 통증이 있습니다.,무릎 통증
397,운동을 다 쳤어요,스포츠로 인한 부상
216,"운동을 못해, 나약해",몸이 약한 느낌
341,운전할 때 집중이 잘 안되고 눈이 눈물이 나기 때문에 운전이 걱정됩니다.,흐릿한 시야
13,울지마,관절 통증
97,움직일 때마다 관절통이 느껴져,관절 통증
45,원인을 모르는 근육에 통증이 있습니다.,근육통
65,유리가 부러져 다리가 심하게 상처를 입었 어,열린 상처
203,이 끔찍한 뱃속에 참을 수 없어,복통
445,이 끔찍한 상실감이 사라지 길 바랍니다.,정서적 고통
125,이두박근에 날카로운 통증이 있습니다. 통증 완화 크림을 바르려고했지만 도움이되지 않습니다.,근육통
380,이럴 때 머리가 아파요.,두통
358,이명으로 귀가 아파요,귀 통증
354,이별 후에는 뭔가 이상한 느낌이 든다.,정서적 고통
669,이유없이 머리카락이 떨어지고 책상에 머리카락이 많이 보입니다.,머리카락이 빠지다
413,일 어설 때 순식간에 넘어 질 것 같은 느낌,어지러운
183,일 어설 때마다 어지러워 요.,어지러운
281,일 어설 때마다 어지러워 요.,어지러운
278,일어 서면 어지러워,어지러운
231,일어나기가 힘들고 아주 천천히 움직입니다,몸이 약한 느낌
144,일어나려고하면 머리가 어지러워 요.,어지러운
591,일어나면 현기증이 나고 넘어진다.,어지러운
678,일어나서 배가 아파서 약을 먹으려 고했지만 여전히 배가 아파요,복통
333,자전거에서 떨어졌고 그 이후로 심한 무릎 통증이있었습니다,무릎 통증
179,작년에 이혼을했고 전 남편에게 복수하는 방법에 대해 생각하는 것을 멈출 수가 없습니다.,정서적 고통
83,잘 안 들려요 귀에 문제가 있어요,귀 통증
56,잘 안보여,흐릿한 시야
299,잠에 들면 추워,추워요
353,잠이 안와 기침이 심하다,기침
701,재채기를 아주 세게하면 귀가 아파요,귀 통증
352,전반적으로 몸 전체에 불편 함을 느낍니다,몸이 약한 느낌
161,정기적으로 비타민을 섭취해도 몸이 약해집니다.,몸이 약한 느낌
401,정원에 꽃을 심을 때 상처가 감염되었습니다,감염된 상처
35,제 복근은 제가 GYM에있을 때부터 큰 통증이 있어요,근육통
273,제 아들은 여드름이 많습니다.,좌창
238,지난 화요일부터 발이 아팠습니다.,발 통증
639,지난번 비행기로 여행했을 때 감기에 걸렸고 여전히 귀에 불편 함이 있습니다.,귀 통증
215,지하철 역에 있으면 숨이 멎는데 왜?,호흡 곤란
140,집안일을하고 나서 어깨가 아파요.,어깨 통증
186,집중할 수 없어,두통
184,짜증은 종종 부상이나 운동 후에 갑자기 시작됩니다.,무릎 통증
347,찌르는듯한 통증없이 목을 왼쪽으로 돌릴 수 없어,목 통증
149,찌르면서 심박수가 증가한 느낌,심장이 아파
306,책을 읽으려고했지만 어떤 것도 나를 위로 할 수 없습니다.,정서적 고통
368,체육관에 갔다가 팔뚝이 아프기 시작했습니다.,근육통
129,체육관에 갔을 때 근육통이 심해요,근육통
36,체육관에서 리프팅하는 동안 허리가 다쳤습니다.,스포츠로 인한 부상
416,체육관에서 샤워를해서 감염된 발에 상처가 있습니다.,감염된 상처
325,체육관에서 첫날을 보낸 후 몸이 약해 지는데 왜?,몸이 약한 느낌
164,추울 때 귀가 아파요,귀 통증
298,추워서 밤에 일어나,추워요
18,추워서 잠을 잘 수가 없어,스포츠로 인한 부상
409,축구 경기 도중 부상 당했고 십자 인대 진단을 받았습니다,스포츠로 인한 부상
234,축구 경기 중에 다 쳤어요,스포츠로 인한 부상
309,축구를 할 때 관절통이 있습니다.,관절 통증
387,축구를 할 때 근육통이 있습니다.,근육통
243,축구를 할 때 어깨가 탈구되었습니다.,스포츠로 인한 부상
195,축구를하다 충돌이 발생했습니다. 무릎이 꺾여서 지금은 불안정합니다.,스포츠로 인한 부상
395,축구를하다가 손가락을 베고 진통 크림을 바르려고하는데 도움이 안 돼요,스포츠로 인한 부상
137,축구를하던 중 발목을 비 틀었습니다,스포츠로 인한 부상
7,축구를해서 손가락을 베고 진통 크림을 발라야하는데 도움이 안 돼요,스포츠로 인한 부상
668,침술을 받으러 갔는데 어깨에 바늘이 100 개있는 것 같아요,어깨 통증
230,카드 보드를 자르는 동안 손가락 끝을 잘 랐고 출혈을 멈출 수 없었습니다.,열린 상처
57,크림을 많이 먹었는데도 같은 피부 트러블,피부 문제
670,큰 소리를 들으면 귀가 아파요,귀 통증
63,키보드로 쓸 때 어깨가 아파요.,어깨 통증
357,탈모 치료가 필요 해요,머리카락이 빠지다
244,테니스 경기 후 오른쪽 어깨가 아파요.,스포츠로 인한 부상
699,테니스를 치면 어깨가 아파요,어깨 통증
95,통증이 있지만 장소를 지정할 수 없습니다,내부 통증
123,통증이 피부 바로 아래에있는 것 같은 느낌,근육통
163,특히 계단을 내려갈 때 통증이 심해 무릎 안쪽에 무언가가 삐걱 거리는 느낌이 듭니다.,무릎 통증
16,특히 달리거나 노력한 후에는 숨쉬기가 어렵다고 느낍니다.,호흡 곤란
345,특히 머리를 감을 때 머리카락이 뭉쳐 나옵니다.,머리카락이 빠지다
290,팔 가까이에 매우 발진이 있습니다.,피부 문제
344,팔꿈치와 어깨가 뻣뻣함을 느낍니다,관절 통증
213,팔에 열린 상처가 있습니다,열린 상처
132,팔에 이상한 발진이 생겼습니다.,피부 문제
9,팔에 이상한 발진이 있습니다,발 통증
318,팔을 구부리면 아파,관절 통증
265,팔을 들어 올리면 아파,어깨 통증
703,팔을 들어 올리면 어깨가 아파요,어깨 통증
664,팔을 움직이면 어깨 근육이 타 버립니다.,근육통
268,팔을 움직이면 오른쪽 어깨가 딸깍 소리를냅니다.,어깨 통증
2,팔을 움직일 때 너무 아파요,심장이 아파
232,팔을 움직일 때 너무 아파요.,어깨 통증
294,폐렴 진단을 받았는데 쉽게 숨을 쉴 수가 없습니다.,호흡 곤란
328,풋볼 경기 때 무릎에 부딪친 후 심한 통증을 느낍니다.,스포츠로 인한 부상
692,피곤할 때 머리가 무거워,두통
646,피로를 동반 한 심호흡,정서적 고통
223,피부에 가려운 붉은 발진이 있습니다.,피부 문제
26,피부에 검은 반점이 있습니다,피부 문제
222,피부에 문제가 생기고 크림을 사용하려고했는데 나아지지 않아요,피부 문제
308,피부에 발진이 있습니다,피부 문제
23,"피부의 열상, 파열 또는 열림",열린 상처
17,한동안 책을 읽고 다 읽었을 때 머리가 아파요,두통
127,한두 시간 동안 노트북 앞에 놓았을 때 현기증이납니다. 그 이유가 무엇일까요?,어지러운
444,항상 머리가 빠지고 요즘 머리가 많이 빠졌어요,머리카락이 빠지다
303,"향수 냄새를 맡으면 기침을 많이하는데, 폐에 무슨 문제가 있습니까?",기침
4,허리 근육이 아파요,감염된 상처
77,허리 근육이 아프다.,근육통
694,허리가 너무 아파서 신발 끈을 묶을 수 없습니다.,허리 통증
167,허리가 아파도 늘이면 좋아진다,근육통
92,허리가 아파요,허리 통증
73,허리에 문제가있어 연장 할 수 없습니다,허리 통증
262,"혈액 순환에 이상이있는 게 틀림 없어, 더운 날에도 양말을 신어야하고, 발가락이 얼었다!",추워요
621,혼잡 한 곳에서는 호흡이 어렵다.,호흡 곤란
604,힘든 일을 마치고 발이 아파요,발 통증
