,phrase,prompt
72,Mi hijo se cortó el cuello con una navaja vieja y ese punto se ha inflamado y parece que está infectado.,Herida infectada
273,Mi hijo tiene mucho acné.,acné
126,"mi hijo tiene tos toda la noche, no puede dormir",Tos
268,Mi hombro derecho hace clic cuando muevo el brazo.,Dolor de hombro
255,Mi llaga no se está curando bien y ha sido así durante dos semanas.,Herida abierta
211,mi mano abierta la herida se infectó,Herida infectada
513,"Mi marido tiene una mancha en el labio que le dolía, pero ahora se ha abierto y gotea líquido todo el día.",Herida infectada
502,"Mi mente se siente muy triste, como si me doliera. La forma en que me siento en mi cabeza es horrible y cuando pienso en mi ruptura, lloro de tristeza.",Dolor emocional
150,Mi nieto se cortó el pie con una concha en el océano y ahora el pie se está poniendo gris y está hinchado.,Herida infectada
99,"Mi oreja izquierda está bien, pero la derecha se siente como si me hubieran apuñalado con un clavo.",Dolor de oidos
198,Mi pecho estalla con granos rojos y puntos blancos.,acné
40,Mi piel está muy seca y descamada.,Problema de la piel
80,Mi piel me pica e inflama,Problema de la piel
252,Mi rodilla no quiere doblarse bien.,Dolor de rodilla
61,Mi rodilla se agarrota y duele cuando me levanto por primera vez después de sentarme.,Dolor de rodilla
180,Mi rótula se siente como si estuviera raspando hueso con hueso cuando camino.,Dolor de rodilla
153,Mi televisor y mi computadora parecen desenfocados a pesar de que tengo lentes nuevos.,visión borrosa
327,Mi tos es muy fuerte y tengo mocos.,Tos
165,Mis articulaciones se sienten hinchadas,Dolor en las articulaciones
35,mis músculos abdominales tienen un gran dolor desde que estaba en el gimnasio,Dolor muscular
119,Mis músculos se sienten cansados,El cuerpo se siente débil
464,Mis pantorrillas se sienten apretadas como nudos y palpitan,Dolor muscular
420,Mis pulmones se sienten pesados ​​como si estuvieran llenos de moco,Tos
253,Mis rodillas parecen rechinarse mientras subo o bajo escaleras.,Dolor de rodilla
499,El señor cabello se cae con solo peinarlo.,Caída de cabello
694,Me duele tanto la espalda que no puedo agacharme para atarme los cordones de los zapatos.,Dolor de espalda
540,Mi cuerpo se siente como en un refrigerador.,Siento frio
567,"mi informe cbc indica 10 hb, me siento cansado de poco trabajo.",El cuerpo se siente débil
559,Mi corte de pus amarillo o verdoso,Herida infectada
510,Me duele el oído cuando escucho música.,Dolor de oidos
680,Me duele el oído cuando lo toco.,Dolor de oidos
636,Todo mi cuerpo está helado.,Siento frio
666,"Mi cara ha estallado en dolorosas manchas rojas y bultos, que no importa cuánto la limpie, mi cara no parece desaparecer.",acné
590,Mi cara está llena de granos.,acné
551,Se me cae el pelo después de darme una ducha.,Caída de cabello
617,Mi cabello se cae en mechones.,Caída de cabello
669,"Mi cabello se me cae sin razón, puedo ver mucho cabello en mi escritorio de trabajo.",Caída de cabello
696,Me duele el corazón cuando hago ejercicio,El corazón duele
580,Mi herida infectada me provocó fiebre,Herida infectada
623,"Mi kee está tragando, lo que indica que tengo una herida infectada.",Herida infectada
599,"Mi rodilla se siente débil y cedió el otro día en lo alto de las escaleras. Afortunadamente, había una barandilla a la que sujetarse.",Dolor de rodilla
593,Me duelen las rodillas en los días fríos y lluviosos.,Dolor de rodilla
648,Mis rodillas se hinchan justo debajo de la rótula y me duelen cuando pongo peso sobre ellas.,Dolor de rodilla
679,me duele mucho el lado izquierdo,Dolor interno
664,Mi músculo en mi hombro arde cuando muevo mi brazo.,Dolor muscular
697,Me duele el cuello y no puedo soportar este dolor,dolor de cuello
641,"Mi cuello me está molestando, no puedo dormir por eso",dolor de cuello
677,Mi nariz está congestionada todo el tiempo y hay una secreción pegajosa en mi garganta que me hace imposible dormir. A menudo tengo que tomar una siesta sentada.,Difícil respirar
524,Mi hombro tiene mucho dolor,Dolor de hombro
640,Me pica la piel.,Problema de la piel
579,"Mi hijo se hizo un tatuaje hace varias semanas y la piel que lo rodea está levantada, caliente y parece infectada.",Herida infectada
661,Parece que mi llaga no está sanando bien.,Herida infectada
596,"Me duele el estómago después de beber un refresco, ¿por qué?",Dolor de estómago
649,mi temperatura bajó y mi cuerpo se sintetizó,Siento frio
316,Necesito rascarme la piel cada minuto,Problema de la piel
357,Necesito un tratamiento para la caída del cabello.,Caída de cabello
100,Necesito una especie de crema que relaje mis músculos,Dolor muscular
296,No hago nada en casa y todavía me siento agotado.,El cuerpo se siente débil
13,No llores,Dolor en las articulaciones
157,"No me siento bien, no puedo respirar",Difícil respirar
442,"No me siento bien, tengo una herida de infección",Herida infectada
83,No oigo bien tengo problemas con el oído,Dolor de oidos
450,"No podía dejar de temblar o aflojar la mandíbula, así de frío tenía.",Siento frio
169,No pude hacer ejercicio debido al dolor de rodilla.,Dolor de rodilla
74,No puedo caminar porque me duele mucho el pie,Dolor de pie
147,"no puedo caminar, me duele la rodilla",Dolor de rodilla
142,No puedo cargar nada me duele el hombro,Dolor de hombro
201,No puedo conducir mi coche de noche porque tengo visión borrosa.,visión borrosa
386,No puedo conseguir una novia debido a mi acné.,acné
421,No puedo dejar de toser,Tos
263,No puedo dejar de toser.,Tos
18,no puedo dormir por el frio,Lesión por deportes
214,no puedo dormir por la tos,Tos
353,No puedo dormir tengo una tos fuerte,Tos
347,No puedo girar el cuello hacia la izquierda sin sentir un dolor punzante,dolor de cuello
28,No puedo hacer nada me siento débil en mi cuerpo,El cuerpo se siente débil
216,"no puedo hacer ningún ejercicio, me siento débil",El cuerpo se siente débil
186,No puedo mantener la concentración,Dolor de cabeza
402,No puedo mover la cabeza hacia arriba y hacia abajo.,dolor de cuello
247,"no puedo mover la pierna, hay dolor en la articulación",Dolor en las articulaciones
41,no puedo mover mi hombro debido al dolor,Dolor de hombro
382,no puedo respirar debido a la tos,Tos
71,no puedo rotar mi cuello,dolor de cuello
203,No puedo soportar este horrible sentimiento en mi estómago,Dolor de estómago
356,No puedo soportar este horrible sentimiento en mi hombro,Dolor de hombro
56,no puedo ver bien,visión borrosa
284,No puedo ver la señal tengo una visión borrosa,visión borrosa
117,No sé por qué estoy constantemente triste.,Dolor emocional
492,No soy bueno me siento mareado,Sintiéndose mareado
229,"No soy bueno, me siento tan frio",Siento frio
451,No tengo la energía para hacer las cosas que solía hacer,El cuerpo se siente débil
514,No tengo problemas para inhalar pero exhalar es muy pesado,Difícil respirar
336,"Nunca tuve ningún problema de acné hasta mi último embarazo, cuando de repente mi espalda se cubrió de granos.",acné
114,Odio mi acné.,acné
329,"Oh, me duele el corazón, traté de estar tranquilo y no puedo",El corazón duele
521,Dolor en el cuello grande,dolor de cuello
441,"Parece que no puedo calentarme. Incluso cuando todos a mi alrededor están calientes, siempre siento frío.",Siento frio
199,picazón en la parte delantera y central del cuero cabelludo,Caída de cabello
20,Pierdo mucho cabello,El cuerpo se siente débil
233,Pierdo mucho cabello,Caída de cabello
196,"Por lo general, tengo una tos fuerte cuando contraigo la gripe.",Tos
57,Probé mucha crema pero sigo sintiendo el mismo problema de piel,Problema de la piel
428,Realmente no puedo saltar con mi pie izquierdo porque mi triple fractura del tobillo me dejó con dolores interminables.,Dolor de pie
107,Salgo en mi cara con mucha frecuencia,acné
423,Se descubrió que tenía una herida abierta.,Herida abierta
494,Se me cae el pelo cuando me lo peino.,Caída de cabello
361,Se siente como si alguien me golpeara la cabeza con un martillo. Siento dolor en la parte superior de mi cabeza y palpita.,Dolor de cabeza
58,Se siente como si alguien me hubiera clavado un cuchillo en el hombro,Dolor de hombro
301,Se siente como si tuviera alfileres y agujas clavándose en mis articulaciones,Dolor en las articulaciones
429,Sentí que me dolía el corazón cuando corrí a gran distancia,El corazón duele
628,severe pain in the upper left side of chest and may have pain to back,El corazón duele
403,"Si hubiera pisado una aguja no me habría dolido tanto, como este maldito espolón en el talón.",Dolor de pie
281,Siempre que me pongo de pie me mareo.,Sintiéndose mareado
444,Siempre se me cae el cabello y últimamente he perdido mucho cabello,Caída de cabello
359,Siento como si hubiera algo hinchado e inflamado en la parte de atrás de mi rodilla.,Dolor de rodilla
313,Siento dolor abdominal,Dolor de estómago
145,Siento dolor al separar a mis seres queridos,Dolor emocional
79,Siento dolor de corazón cuando camino mucho,El corazón duele
404,Siento dolor en el cuello mientras trabajo.,dolor de cuello
244,Siento dolor en el hombro derecho después del partido de tenis.,Lesión por deportes
182,Siento dolor en la articulación después de una lesión en el último partido de fútbol que jugué.,Dolor en las articulaciones
462,Siento dolor en la cabeza con vértigo,Dolor de cabeza
342,siento dolor en la espalda,Dolor de espalda
92,Siento dolor en la espalda baja,Dolor de espalda
202,Siento dolor en la rodilla,Dolor de rodilla
156,Siento dolor en la rodilla al caminar,Dolor de rodilla
68,Siento dolor en la rodilla cuando subo las escaleras.,Dolor en las articulaciones
97,Siento dolor en las articulaciones cada vez que me muevo,Dolor en las articulaciones
63,Siento dolor en los hombros cuando escribo en el teclado.,Dolor de hombro
338,Siento dolor en mi corazon,El corazón duele
236,Siento dolor en mi corazón cuando me despierto,El corazón duele
118,siento dolor en mi cuello,dolor de cuello
224,Siento dolor en mi cuello después de despertar,dolor de cuello
162,siento dolor en mi cuerpo,Dolor interno
120,siento dolor en mi estómago,Dolor de estómago
131,Siento dolor en mi interior.,Dolor interno
194,siento dolor en mi pie,Dolor de pie
39,siento dolor en mi rodilla,Dolor de rodilla
358,Siento dolor en mis oídos con tinnitus,Dolor de oidos
185,Siento dolor en mis ojos puedo ver niebla,visión borrosa
425,Siento dolor por dentro no se que es,Dolor interno
158,Siento dolor por dentro y no lo puedo identificar,Dolor interno
369,Siento frío aunque estamos en verano.,Siento frio
412,Siento frío y escalofríos a pesar de que mi ropa es pesada,Siento frio
187,Siento líquido tratando de salir cuando toso.,Tos
352,Siento malestar en todo el cuerpo en general.,El cuerpo se siente débil
279,Siento mucho dolor en las articulaciones.,Dolor en las articulaciones
432,Siento mucho dolor en los pies después de jugar uno de los juegos deportivos.,Lesión por deportes
237,Siento que algo me aprieta los pulmones.,Difícil respirar
447,Siento que casi no puedo respirar a menos que saque lo que hay en mis pulmones,Tos
446,Siento que el mundo da vueltas y vueltas,Sintiéndose mareado
218,siento que es un gran dolor en mi hombro izquierdo,Dolor de hombro
458,Siento que la habitación está girando,Sintiéndose mareado
16,"Siento que me cuesta respirar, especialmente después de correr o hacer algún esfuerzo.",Difícil respirar
90,Siento que me están pinchando algo en las articulaciones,Dolor en las articulaciones
454,Siento que siempre tengo algo en la garganta,Tos
344,Siento rigidez en codos y hombros.,Dolor en las articulaciones
149,Siento un aumento de la frecuencia cardíaca con el pinchazo,El corazón duele
27,Siento un dolor agudo en el estómago,Dolor interno
339,Siento un dolor agudo en el estómago después de comer.,Dolor de estómago
249,Siento un dolor agudo en la articulación del tobillo cuando me pongo de pie.,Dolor en las articulaciones
415,Siento un dolor agudo en la cabeza cuando pienso demasiado.,Dolor de cabeza
226,"Siento un dolor en el lado izquierdo de mi pecho, donde está mi corazón",El corazón duele
400,Siento un dolor en las rodillas cuando camino,Dolor en las articulaciones
94,Siento un dolor en mi cuello,dolor de cuello
22,Siento un dolor en mi espalda,Dolor de espalda
328,Siento un fuerte dolor en la rodilla después de que me golpearon durante el partido de fútbol.,Lesión por deportes
51,Siento un gran dolor emocional después de que rompí con mi novia.,Dolor emocional
307,Siento un gran dolor en la articulación de mi hombro y no desaparece,Dolor en las articulaciones
32,Siento un hormigueo profundo cuando toco el acné seguido de una mala sensación,acné
210,Siento una gran presión en mi cabeza.,Dolor de cabeza
212,Siento una gran presión en mi pecho,Difícil respirar
191,Siento una opresión en mi pecho,Difícil respirar
59,Siento una sensación de ardor en el músculo del hombro.,Dolor muscular
15,"Solía ​​quedarme sin aliento después de subir una docena de escaleras, pero ahora me cuesta respirar incluso cuando me siento.",Difícil respirar
76,Solía ​​tener acné cuando tenía 15 años.,acné
472,Algo oscuro esta en mi brazo,Problema de la piel
587,A veces mi cuerpo se siente semana sin razón,El cuerpo se siente débil
633,"A veces, cuando hace frío afuera, me duele la cara, especialmente alrededor de los granos que están listos para estallar.",acné
611,rigidez incapacidad para mirar a derecha o izquierda excepto moviendo todo el cuerpo,dolor de cuello
436,Su herida infectada comenzaba a pudrirse.,Herida infectada
260,Sufrí una herida profunda en mi mano y no puedo detener el sangrado,Herida infectada
189,Sufro de tos aguda acompañada de flema,Tos
705,Infecciones de heridas quirúrgicas,Herida infectada
443,tener dificultad para mover la rodilla,Dolor de rodilla
8,Tengo acné en la cara y otros problemas en la dermis como picazón.,Problema de la piel
200,Tengo brotes en el pecho con manchas rojas que se vuelven más intensas cuando tengo calor.,acné
115,tengo dolor como agujas en las articulaciones.,Dolor en las articulaciones
86,Tengo dolor de cabeza en la parte delantera y cuando lo tengo la luz me molesta.,Dolor de cabeza
30,Tengo dolor de espalda desde que cumplí 70 años.,Dolor de espalda
101,Tengo dolor de espalda desde que me caí al suelo.,Dolor de espalda
270,Tengo dolor de estómago e hinchazón constantes.,Dolor interno
140,tengo dolor de hombro después de hacer cualquier trabajo a domicilio.,Dolor de hombro
468,tengo dolor en la articulación del codo,Dolor en las articulaciones
319,tengo dolor en mi estomago,Dolor de estómago
302,Tengo dolor interno cada vez que me resfrío.,Dolor interno
6,Tengo dolor muscular en la pierna izquierda,Dolor de hombro
5,"tengo dolor muscular que mi espalda
Tengo dolor muscular en la pierna trasera",Dolor de pie
95,tengo dolor pero no puedo especificar el lugar,Dolor interno
475,Tengo dolor severo en el hombro,Dolor de hombro
304,Tengo erupciones en la cara que van y vienen.,acné
498,Tengo escalofríos y dolores por todas partes.,Siento frio
389,Tengo escasez de cabello,Caída de cabello
132,Tengo este extraño sarpullido en el brazo.,Problema de la piel
160,Tengo frío aunque la temperatura es alta,Siento frio
437,Tengo grandes parches de granos irritados en la espalda y me duelen.,acné
246,Tengo granos en parches junto con mucho enrojecimiento en la cara.,acné
82,Tengo la garganta seca,Tos
393,Tengo la piel seca,Problema de la piel
54,Tengo la sensación de que todo mi cuerpo se queja,Dolor en las articulaciones
433,Tengo la vista borrosa.,visión borrosa
29,Tengo los ojos nublados,visión borrosa
26,Tengo manchas oscuras en mi piel,Problema de la piel
134,Tengo mucha mucosidad cuando toso.,Tos
457,Tengo palpitaciones en mi hombro,Dolor de hombro
14,Tengo para dia,El corazón duele
392,Tengo terribles dolores de cabeza cada pocos meses y cuando los tengo mi visión se ve afectada.,Dolor de cabeza
372,tengo tos seca severa,Tos
416,Tengo un corte en el pie que se infectó por usar las duchas en el gimnasio.,Herida infectada
125,Tengo un dolor agudo en el bíceps. He intentado aplicar una crema analgésica pero no me ayuda.,Dolor muscular
44,Tengo un dolor agudo en el cuello,dolor de cuello
410,Tengo un dolor agudo en la oreja,Dolor de oidos
10,Tengo un dolor agudo en la parte baja del estómago.,Dolor de estómago
297,Tengo un dolor agudo y un chasquido en la articulación del tobillo cuando trato de pararme y caminar.,Dolor en las articulaciones
96,Tengo un dolor de oído que no desaparece. No tengo resfriado ni dolor de cabeza ni ningún otro síntoma. Solo un dolor de oídos.,Dolor de oidos
220,Tengo un dolor en mi musculo,Dolor muscular
343,tengo un dolor en mis trapos,Dolor muscular
49,Tengo un dolor interno,Dolor interno
376,Tengo un dolor punzante en la rótula después de hacer ejercicio.,Dolor de rodilla
274,Tengo un dolor que se irradia desde la cadera derecha hasta la caja torácica. Es peor cuando orino.,Dolor interno
93,Tengo un dolor sordo en mi cabeza,Dolor de cabeza
48,Tengo un fuerte dolor dentro de mi cuello,dolor de cuello
98,tengo un fuerte dolor en el estómago,Dolor de estómago
355,tengo un fuerte dolor en el hombro,Dolor de hombro
129,Tengo un fuerte dolor muscular desde que fui al gimnasio.,Dolor muscular
116,tengo un gran dolor en el tórax por una lesión en el corazón,El corazón duele
258,Tengo un poco de dolor cuando camino alrededor de mis rodillas,Dolor en las articulaciones
490,tengo un problema con mi piel,Problema de la piel
152,tengo un problema en el oído medio causado por una infección,Dolor de oidos
46,Tengo un problema en la caducidad porque tengo asma bronquial,Difícil respirar
73,tengo un problema en la espalda no puedo extenderlo,Dolor de espalda
64,tengo un problema para ver los objetos es demasiado difícil de ver,visión borrosa
81,Tengo un resfriado y me hace toser mucho,Tos
308,Tengo un sarpullido en la piel,Problema de la piel
269,Tengo un sarpullido y me pica mucho.,Problema de la piel
248,Tengo un sufrimiento mental,Dolor emocional
289,Tengo una costra en el dorso de la mano que simplemente no desaparece.,Problema de la piel
223,Tengo una erupción roja que me pica en la piel.,Problema de la piel
9,Tengo una extraña erupción en mi brazo,Dolor de pie
213,Tengo una herida abierta en mi brazo,Herida abierta
282,Tengo una herida en el pulgar que no se cura.,Herida abierta
391,Tengo una herida en la piel dentro de una de mis fosas nasales que se ha infectado y ahora está llena de pus.,Herida infectada
159,Tengo una indigestión,Dolor de estómago
154,Tengo una rotura en la piel entre el pulgar y el índice y no se cierra.,Herida abierta
290,Tengo una sensación de erupción cerca de mis brazos,Problema de la piel
305,tengo una tos muy fuerte,Tos
370,"Tengo una visión borrosa desde que me desperté esta mañana, ¿cuál podría ser la razón?",visión borrosa
66,"Tengo una visión borrosa durante mi entrenamiento de natación en la piscina, ¿por qué?",visión borrosa
500,Tengo unos problemas terribles para respirar durante la noche.,Tos
463,Tengo visión borrosa después de haber usado un medicamento incorrecto.,visión borrosa
522,El área alrededor de mi corazón no se siente bien.,El corazón duele
577,La sensación de toser aumenta en el alcance del invierno.,Tos
586,Las articulaciones de mis dedos me duelen por la mañana.,Dolor en las articulaciones
570,El dolor en mi espalda se hunde como un cuchillo afilado,Dolor de espalda
550,El sistema de calefacción de mi casa está roto y se siente tan frío,Siento frio
582,Se siente como un nudo hinchado en mi omóplato con dolor,Dolor de hombro
583,Hay un dolor agudo en mi bíceps,Dolor muscular
606,Hay un dolor agudo en mi oído cada vez que hago esto.,Dolor de oidos
600,Hay una sensación de hormigueo en mi cuello.,dolor de cuello
459,"Hay una presión extrema debajo de mi ombligo a la derecha, que siento cada vez que salgo a trotar.",Dolor interno
527,hay dolor en mi pie,Dolor de pie
682,Estas manchas rojas en mis mejillas son nuevas. ¿Qué es?,Problema de la piel
687,Esta larga cicatriz en mi nalga izquierda es por caerme de mi bicicleta de montaña.,Lesión por deportes
241,Tiene tos y resfriado severo,Tos
486,Todo mi cuerpo esta en mal caso y necesito un buen trato,Dolor en las articulaciones
240,Todo parece estar en una zona llena de humo.,visión borrosa
303,"Toso mucho cuando huelo perfume, ¿qué le pasa a mis pulmones?",Tos
31,Traté de poner mis lentes para ver más claro pero no puedo encontrar ningún cambio.,visión borrosa
479,Tuve dolor interno y gases cuando comí comida india picante ayer.,Dolor interno
366,Tuve un corte que fue cosido pero no sana. Está rezumando gato verde y quemaduras.,Herida infectada
195,Tuve una colisión mientras jugaba fútbol. Mi rodilla se dobló y ahora es inestable.,Lesión por deportes
170,Una terrible caída de cabello,Caída de cabello
411,"Usé muchos analgésicos para mejorar, pero todavía siento el mismo dolor de espalda.",Dolor de espalda
686,usando tónico para el cabello,Caída de cabello
398,Viajé en avión hace unos días y esta vez durante el aterrizaje mis oídos seguían obstruidos y doloridos.,Dolor de oidos
65,vidrio roto y herida mi pierna gravemente la herida es tan ancha,Herida abierta
487,Visité a muchos médicos pero no encuentran el tratamiento adecuado para recuperar mi cabello,Caída de cabello
544,¿Cuáles son los síntomas de la apendicitis?,Dolor interno
678,Cuando me levanté me encontré con que me dolía el estómago y traté de tomarme decina pero me seguía doliendo el estómago.,Dolor de estómago
534,Cuando hago ejercicios duros siento un gran dolor en mis músculos.,Dolor muscular
482,Cuando bebo mucho me duele la cabeza,Dolor de cabeza
650,Cuando me levanto veo mi piel vaga,Problema de la piel
591,"cuando me levanto, me siento mareado y me caigo.",Sintiéndose mareado
643,"Cuando me pongo de pie, mi cabeza comienza a girar",Sintiéndose mareado
703,Cuando levanto los brazos me duelen los hombros,Dolor de hombro
635,"Cuando me muevo sobre mi hombro, el dolor se dispara por mi brazo",Dolor de hombro
701,Cuando estornudo muy fuerte siento dolor de oído,Dolor de oidos
568,"Cuando me levanto demasiado rápido, siento que me voy a desmayar.",Sintiéndose mareado
638,Cuando pienso en mis padres siento dolor,Dolor emocional
651,Cuando traté de cuidar si mi cabello me encontré con que se estaba cayendo,Caída de cabello
563,Cuando camino siento un dolor punzante en la parte superior de mi pie,Dolor de pie
573,"Cuando camino, me cuesta respirar.",Difícil respirar
607,"Cuando subo un tramo de escaleras, me duele la rodilla derecha.",Dolor de rodilla
692,Cuando estoy cansado siento mi cabeza pesada,Dolor de cabeza
523,Ayer tuve un dolor más fuerte,Dolor de hombro
506,"Yo era muy activo en los deportes, pero ahora mi cuerpo siente dolor.",Lesión por deportes
681,"No me creerá, pero esta herida infectada en mi mano es de un corte de papel que no tomé en serio.",Herida infectada
